"","Date","ID.1","ID.2","Site","TimeStamp"
"383",2022-01-13,"Quiscalus","unbanded juvenile male","CA","9:14:15"
"384",2022-03-21,"Quiscalus","unbanded juvenile male","CA","13:55:19"
"385",2022-01-11,"Tembleque","unbanded juvenile male","CA","10:20:00"
"386",2022-03-09,"Bacmut Bacni","unbanded unknown female","CA","8:30:00"
"387",2022-02-01,"Cutuy","unbanded unknown female","CA","11:02:52"
"388",2021-10-27,"Galandra","unbanded unknown female","CA","9:23:05"
"389",2022-03-15,"Pina","unbanded unknown female","CA","9:48:45"
"390",2022-01-25,"Polvorones","unbanded unknown female","CA","9:15:38"
"391",2022-02-25,"Quiscalus","unbanded unknown female","CA","10:57:41"
"392",2022-03-21,"Quiscalus","unbanded unknown female","CA","13:56:55"
"393",2022-02-09,"Talingo","unbanded unknown female","CA","7:25:43"
"394",2022-01-24,"Wachil","unbanded unknown female","CA","11:55:25"
"395",2022-03-09,"Bacmut Bacni","unbanded unknown male","CA","8:31:50"
"396",2021-11-23,"Camote","unknown adult female","CA","13:16:52"
"397",2021-10-27,"Cuervo","unknown adult female","CA","11:01:43"
"398",2021-12-09,"Cuervo","unknown adult female","CA","13:24:50"
"399",2022-01-04,"Cuervo","unknown adult female","CA","9:18:55"
"400",2022-01-11,"Cutuy","unknown adult female","CA","11:12:26"
"401",2021-11-03,"Dulce de Leche","unknown adult female","CA","14:56:00"
"402",2022-02-24,"Galandra","unknown adult female","CA","7:41:35"
"403",2021-11-11,"Kau","unknown adult female","CA","11:16:22"
"404",2022-01-18,"Kel","unknown adult female","CA","13:31:42"
"405",2022-01-27,"Pina","unknown adult female","CA","10:05:56"
"406",2022-01-25,"Polvorones","unknown adult female","CA","9:20:52"
"407",2022-01-10,"Tzanatl Preciosa","unknown adult female","CA","11:01:39"
"408",2022-01-04,"Urraca","unknown adult female","CA","8:06:02"
"409",2022-01-24,"Wachil","unknown adult female","CA","11:53:12"
"410",2021-12-22,"Bacmut Bacni","unknown adult male","CA","9:14:49"
"411",2022-03-09,"Bacmut Bacni","unknown adult male","CA","9:18:12"
"412",2021-11-23,"Camote","unknown adult male","CA","13:15:26"
"413",2021-10-27,"Cuervo","unknown adult male","CA","11:04:30"
"414",2021-12-09,"Cuervo","unknown adult male","CA","13:29:35"
"415",2022-01-04,"Cuervo","unknown adult male","CA","9:18:53"
"416",2022-02-21,"Cutuy","unknown adult male","CA","12:31:00"
"417",2021-11-11,"Kau","unknown adult male","CA","11:16:04"
"418",2021-10-26,"Polvorones","unknown adult male","CA","14:47:27"
"419",2021-12-03,"Polvorones","unknown adult male","CA","13:43:24"
"420",2021-12-03,"Talingo","unknown adult male","CA","13:59:15"
"421",2022-02-09,"Talingo","unknown adult male","CA","7:24:35"
"422",2021-12-31,"Wachil","unknown adult male","CA","14:14:45"
"423",2022-02-07,"Xunub","unknown adult male","CA","9:35:14"
"424",2021-12-22,"Bacmut Bacni","unknown female","CA","9:14:34"
"425",2022-03-09,"Bacmut Bacni","unknown female","CA","8:34:01"
"426",2022-01-13,"Camote","unknown female","CA","12:52:59"
"427",2021-11-17,"Cuervo","unknown female","CA","15:11:13"
"428",2022-01-11,"Cutuy","unknown female","CA","10:40:04"
"429",2021-11-03,"Dulce de Leche","unknown female","CA","14:52:43"
"430",2022-01-13,"Galandra","unknown female","CA","13:42:54"
"431",2021-11-11,"Kau","unknown female","CA","11:19:48"
"432",2022-02-08,"Kel","unknown female","CA","12:21:51"
"433",2022-01-27,"Pina","unknown female","CA","10:09:11"
"434",2021-10-26,"Polvorones","unknown female","CA","14:46:30"
"435",2022-01-11,"Tembleque","unknown female","CA","10:18:37"
"436",2022-03-11,"Tzanatl Preciosa","unknown female","CA","8:58:48"
"437",2022-01-04,"Urraca","unknown female","CA","8:16:00"
"438",2022-02-17,"Urraca","unknown female","CA","9:36:15"
"439",2021-12-09,"Wachil","unknown female","CA","13:00:50"
"440",2022-01-24,"Wachil","unknown female","CA","11:55:48"
"441",2022-02-14,"Wachil","unknown female","CA","11:24:44"
"442",2022-02-07,"Xunub","unknown female","CA","9:33:32"
"443",2021-09-21,"Zapote Negro","unknown female","CA","8:22:57"
"444",2021-12-09,"Cuervo","unknown grackle","CA","13:20:59"
"445",2022-03-21,"Quiscalus","unknown grackle","CA","11:56:44"
"446",2022-03-09,"Bacmut Bacni","unknown juvenile male","CA","8:32:44"
"447",2022-02-09,"Talingo","unknown juvenile male","CA","7:24:06"
"448",2021-12-22,"Bacmut Bacni","unknown male","CA","9:13:42"
"449",2022-03-09,"Bacmut Bacni","unknown male","CA","8:34:19"
"450",2021-11-03,"Dulce de Leche","unknown male","CA","14:50:50"
"451",2021-10-21,"Kau","unknown male","CA","14:11:24"
"452",2022-01-27,"Pina","unknown male","CA","10:03:33"
"453",2022-02-09,"Talingo","unknown male","CA","7:25:01"
"454",2022-01-04,"Urraca","unknown male","CA","8:16:37"
"455",2022-01-25,"Urraca","unknown male","CA","11:44:39"
"456",2022-02-17,"Urraca","unknown male","CA","9:34:50"
"457",2021-09-21,"Zapote Negro","unknown male","CA","8:25:28"
"458",2022-01-27,"Pina","Urraca","CA","10:04:07"
"459",2021-12-22,"Tembleque","Urraca","CA","11:25:00"
"460",2021-10-27,"Cuervo","Wachil","CA","11:06:25"
"461",2021-12-23,"Kau","Wachil","CA","14:26:00"
"462",2022-01-25,"Urraca","Wachil","CA","11:47:31"
"463",2022-02-25,"Quiscalus","Xunub","CA","10:51:00"
